"escolaridade_mae","setor_desempenho","n","porcentagem"
"EF completo","Baixo (até Q1)",39856,32.5150721587247
"EF completo","Médio-Baixo (Q1 a Mediana)",35893,29.2820023332273
"EF completo","Médio-Alto (Mediana a Q3)",29680,24.213351607561
"EF completo","Alto (acima de Q3)",17148,13.989573900487
"EF incompleto (até 9º ano)","Baixo (até Q1)",34435,36.5734495979948
"EF incompleto (até 9º ano)","Médio-Baixo (Q1 a Mediana)",27793,29.5189744352278
"EF incompleto (até 9º ano)","Médio-Alto (Mediana a Q3)",21195,22.5112317185857
"EF incompleto (até 9º ano)","Alto (acima de Q3)",10730,11.3963442481918
"Médio completo","Baixo (até Q1)",89302,23.2102153849353
"Médio completo","Médio-Baixo (Q1 a Mediana)",104175,27.0758122743682
"Médio completo","Médio-Alto (Mediana a Q3)",105606,27.4477391989146
"Médio completo","Alto (acima de Q3)",85670,22.2662331417819
"Nunca estudou","Baixo (até Q1)",6961,53.7778121137206
"Nunca estudou","Médio-Baixo (Q1 a Mediana)",3422,26.4369592088999
"Nunca estudou","Médio-Alto (Mediana a Q3)",1914,14.7867737948084
"Nunca estudou","Alto (acima de Q3)",647,4.99845488257108
"Não completou EF (até 5º ano)","Baixo (até Q1)",33384,43.4647883656438
"Não completou EF (até 5º ano)","Médio-Baixo (Q1 a Mediana)",21755,28.3242412800917
"Não completou EF (até 5º ano)","Médio-Alto (Mediana a Q3)",14941,19.4526540549689
"Não completou EF (até 5º ano)","Alto (acima de Q3)",6727,8.75831629929564
"Pós-graduação","Baixo (até Q1)",14210,10.3937330397829
"Pós-graduação","Médio-Baixo (Q1 a Mediana)",22049,16.1274750031086
"Pós-graduação","Médio-Alto (Mediana a Q3)",33398,24.4285641141921
"Pós-graduação","Alto (acima de Q3)",67060,49.0502278429164
"Superior completo","Baixo (até Q1)",16343,11.8176624991865
"Superior completo","Médio-Baixo (Q1 a Mediana)",25621,18.5266065527539
"Superior completo","Médio-Alto (Mediana a Q3)",37074,26.8082983231255
"Superior completo","Alto (acima de Q3)",59255,42.847432624934
